team,total_matches,total_wins,win_rate
Rising Pune Supergiants,14,5,0.35714285714285715
Delhi Daredevils,161,67,0.4161490683229814
Mumbai Indians,247,138,0.5587044534412956
Kings XI Punjab,190,85,0.4473684210526316
Gujarat Lions,30,13,0.43333333333333335
Sunrisers Hyderabad,166,78,0.46987951807228917
Royal Challengers Bangalore,240,114,0.475
Lucknow Super Giants,30,17,0.5666666666666667
Kolkata Knight Riders,237,119,0.5021097046413502
Kochi Tuskers Kerala,14,6,0.42857142857142855
Rajasthan Royals,206,101,0.49029126213592233
Chennai Super Kings,224,131,0.5848214285714286
Delhi Capitals,77,38,0.4935064935064935
Gujarat Titans,33,23,0.696969696969697
Deccan Chargers,75,29,0.38666666666666666
Punjab Kings,42,19,0.4523809523809524
Pune Warriors,46,12,0.2608695652173913
Rising Pune Supergiant,16,10,0.625
