venue,avg_first_innings_score,avg_second_innings_score
M Chinnaswamy Stadium,168.06153846153848,145.515625
"Punjab Cricket Association Stadium, Mohali",163.28571428571428,150.62857142857143
Feroz Shah Kotla,161.63333333333333,147.84745762711864
Wankhede Stadium,166.02739726027397,154.3835616438356
Eden Gardens,160.1818181818182,147.06493506493507
Sawai Mansingh Stadium,157.68085106382978,145.80851063829786
"Rajiv Gandhi International Stadium, Uppal",156.14285714285714,146.9795918367347
"MA Chidambaram Stadium, Chepauk",166.02083333333334,151.85416666666666
Dr DY Patil Sports Academy,146.64705882352942,136.2941176470588
Newlands,139.42857142857142,112.57142857142857
St George's Park,159.0,131.42857142857142
Kingsmead,152.0,138.2
SuperSport Park,154.83333333333334,149.58333333333334
Buffalo Park,147.33333333333334,119.0
New Wanderers Stadium,144.0,142.5
De Beers Diamond Oval,158.0,141.0
OUTsurance Oval,135.0,129.5
Brabourne Stadium,180.3,167.7
"Sardar Patel Stadium, Motera",163.16666666666666,149.0
Barabati Stadium,167.71428571428572,157.71428571428572
"Brabourne Stadium, Mumbai",177.41176470588235,165.1764705882353
"Vidarbha Cricket Association Stadium, Jamtha",149.33333333333334,144.66666666666666
Himachal Pradesh Cricket Association Stadium,175.66666666666666,146.22222222222223
Nehru Stadium,146.8,125.8
Holkar Cricket Stadium,160.33333333333334,158.77777777777777
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,157.46153846153845,130.69230769230768
Subrata Roy Sahara Stadium,149.4375,133.5625
Maharashtra Cricket Association Stadium,166.4090909090909,152.0909090909091
Shaheed Veer Narayan Singh International Stadium,146.33333333333334,143.83333333333334
JSCA International Stadium Complex,149.0,144.71428571428572
Sheikh Zayed Stadium,158.86206896551724,145.6206896551724
Sharjah Cricket Stadium,159.03571428571428,147.5
Dubai International Cricket Stadium,163.7608695652174,149.08695652173913
"Punjab Cricket Association IS Bindra Stadium, Mohali",164.0909090909091,158.1818181818182
Saurashtra Cricket Association Stadium,168.9,162.7
Green Park,161.25,163.25
M.Chinnaswamy Stadium,173.93333333333334,167.86666666666667
Punjab Cricket Association IS Bindra Stadium,175.6,172.0
Rajiv Gandhi International Stadium,162.6,146.13333333333333
MA Chidambaram Stadium,150.55555555555554,134.22222222222223
Arun Jaitley Stadium,168.28571428571428,155.0
"MA Chidambaram Stadium, Chepauk, Chennai",162.0,151.3684210526316
"Wankhede Stadium, Mumbai",175.07894736842104,168.02631578947367
"Narendra Modi Stadium, Ahmedabad",177.375,160.625
"Arun Jaitley Stadium, Delhi",182.63636363636363,168.1818181818182
"Zayed Cricket Stadium, Abu Dhabi",159.0,150.375
"Dr DY Patil Sports Academy, Mumbai",170.7,157.95
"Maharashtra Cricket Association Stadium, Pune",171.46153846153845,144.53846153846155
"Eden Gardens, Kolkata",193.88888888888889,176.22222222222223
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",197.8,173.4
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",148.0,139.83333333333334
"M Chinnaswamy Stadium, Bengaluru",195.57142857142858,187.57142857142858
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",174.42857142857142,161.28571428571428
"Barsapara Cricket Stadium, Guwahati",198.0,167.0
"Sawai Mansingh Stadium, Jaipur",171.8,141.8
"Himachal Pradesh Cricket Association Stadium, Dharamsala",200.0,193.5
